TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F1,34.58,-98.42
F2,35.5,-97.83
F2,34.37,-96.2
F2,35.37,-96.08
F2,33.9,-94.83
F1,33.95,-95.08
F2,34.03,-94.57
F1,34.45,-95.3
F1,34.88,-99.85
F1,34.75,-99.65
F1,34.85,-99.53
F1,35.78,-98.75
F1,40.65,-76.53
F2,40.4,-79.2
F1,40.12,-75.87
F2,40.67,-76.68
F2,41.92,-79.63
F2,40.1,-76.4
F1,39.0,-84.18
F1,40.18,-95.93
F1,40.6,-99.1
F1,34.72,-97.62
F1,33.85,-97.03
F1,34.03,-88.88
F2,34.67,-88.43
F1,34.28,-90.65
F1,31.88,-89.95
F1,32.03,-89.67
F2,32.45,-91.15
F2,30.85,-89.13
F2,31.72,-91.07
F2,31.83,-89.43
F2,34.92,-88.52
F1,30.85,-89.13
F2,33.6,-88.62
F2,33.68,-88.55
F3,32.73,-91.07
F5,32.33,-90.9
F2,34.2,-90.73
F1,34.45,-96.97
F1,34.0,-96.75
F2,34.77,-97.95
F3,34.88,-97.7
F2,35.07,-97.48
F2,35.18,-97.25
F3,33.92,-97.27
F3,34.18,-96.95
F2,35.0,-94.53
F2,44.65,-97.62
F2,45.0,-101.23
F2,43.47,-101.5
F2,45.5,-97.98
F1,43.75,-97.37
F1,44.48,-103.78
F4,44.0,-92.08
F1,43.75,-94.68
F2,44.17,-93.88
F3,35.77,-78.1
F3,35.75,-78.08
F3,35.75,-77.73
F1,35.0,-77.67
F1,45.05,-69.3
F2,31.55,-90.88
F2,31.92,-90.62
F2,33.03,-91.02
F1,33.52,-89.92
F2,34.25,-89.05
F1,44.57,-97.52
F2,45.82,-100.82
F2,47.23,-105.15
F1,48.08,-105.58
F3,40.25,-97.57
F3,40.3,-97.45
F3,40.77,-97.15
F2,40.97,-99.47
F2,46.2,-97.13
F2,47.15,-96.93
F2,46.67,-98.68
F2,48.17,-103.38
F2,47.5,-97.08
F1,47.45,-99.92
F5,46.45,-100.67
F5,46.55,-100.58
F4,41.22,-83.9
F4,41.25,-83.83
F4,41.27,-83.43
F4,41.42,-82.83
F4,41.47,-82.33
F4,41.37,-81.97
F2,39.73,-84.63
F3,35.32,-93.25
F3,35.48,-94.22
F2,33.42,-94.0
F2,35.27,-93.17
F1,35.85,-91.13
F2,33.0,-91.8
F2,33.83,-92.17
F1,34.77,-91.57
F2,35.88,-92.23
F3,35.22,-93.95
F3,35.28,-93.28
F1,45.37,-84.97
F2,37.65,-121.0
F2,39.75,-122.18
F4,42.47,-72.17
F3,42.17,-71.77
F3,42.05,-71.23
F1,41.05,-98.22
F2,42.45,-102.2
F4,43.15,-82.98
F1,46.73,-89.62
F2,45.58,-94.08
F2,45.42,-95.75
F2,43.75,-93.2
F4,43.5,-92.38
F4,43.85,-92.17
F1,39.22,-90.75
F1,38.37,-94.28
F1,38.47,-94.0
F3,34.7,-87.7
F2,33.95,-87.8
F2,33.93,-87.37
F2,34.38,-87.07
F2,30.7,-88.12
F2,34.85,-87.62
F3,33.32,-87.0
F1,33.85,-86.77
F2,33.03,-86.75
F4,33.22,-85.93
F4,32.25,-88.38
F1,33.92,-87.82
F1,31.38,-85.4
F2,31.37,-85.27
F1,38.97,-76.5
F1,37.55,-91.92
F1,38.42,-91.08
F2,41.78,-85.77
F4,42.92,-82.6
F2,43.37,-83.87
F4,41.78,-83.57
F3,42.2,-84.0
F3,42.58,-83.7
F3,42.6,-83.68
F2,44.33,-83.63
F3,44.82,-83.47
F5,43.1,-83.85
F5,43.1,-83.65
F4,43.15,-83.18
F2,41.23,-99.27
F2,41.25,-99.25
F1,41.2,-97.28
F1,41.88,-103.6
