TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F3,31.8344,-102.7299
F1,35.5205,-96.7803
F1,34.59,-97.1734
F0,41.94,-103.51
F0,35.896,-99.757
F1,36.435,-99.621
F0,34.4849,-88.9644
F0,27.65,-80.5623
F1,34.623,-82.718
F0,29.7495,-81.5563
F2,34.4957,-92.4011
F1,32.577,-88.8151
F1,39.037,-83.8711
F2,34.153,-100.6636
F2,34.1814,-100.5201
F3,34.1688,-100.5119
F1,33.801,-86.9564
F0,41.82,-103.67
F2,32.1575,-89.1141
F2,33.5302,-88.8531
F1,31.9379,-89.6386
F0,37.9883,-103.1502
F1,38.3555,-102.8824
F0,38.0102,-103.1535
F0,34.188,-97.205
F1,34.665,-97.781
F1,35.3603,-96.333
F2,35.4028,-95.8673
F0,31.7548,-102.802
F1,35.4898,-96.4835
F2,35.441,-95.814
F1,35.4239,-95.7757
F1,36.6701,-94.7875
F1,35.4362,-95.7177
F0,35.4519,-95.7008
F1,35.5864,-95.1276
F1,35.5535,-94.8769
F1,35.5293,-95.3438
F0,35.7736,-88.9905
F1,35.4634,-95.6807
F2,35.497,-95.7354
F1,35.5026,-95.4784
F1,41.0035,-96.0641
F0,40.1,-104.5011
F0,35.9235,-99.3774
F0,36.1202,-97.9127
F0,36.11,-97.7209
F0,36.1065,-97.5926
F0,36.1295,-97.3547
F0,34.5778,-97.2676
F1,35.97,-98.1379
F1,40.6754,-86.7451
F2,36.2224,-95.7481
F0,39.8502,-104.8206
F1,45.21,-106.2
F2,35.118,-97.274
F1,35.248,-97.142
F3,35.246,-96.984
F1,36.12,-97.3288
F1,33.956,-97.037
F0,33.951,-96.888
F0,33.919,-96.871
F3,35.34,-97.108
F0,35.02,-97.213
F0,34.362,-96.879
F1,35.7347,-96.5499
F3,35.283,-96.777
F2,34.254,-96.432
F1,34.24,-96.404
F1,35.5722,-95.1987
F1,35.9972,-96.1317
F2,36.046,-96.0297
F0,40.1797,-85.4339
F0,35.5198,-88.243
F3,34.8008,-89.1893
F0,36.188,-99.561
F0,36.379,-99.53
F1,36.1205,-94.3553
F0,35.414,-98.962
F0,29.924,-92.6714
F0,42.135,-96.8568
F1,33.7387,-88.4347
F0,36.793,-98.062
F2,35.1184,-88.6892
F1,34.681,-97.743
F1,34.882,-97.424
F0,34.893,-97.433
F0,43.3361,-90.8286
F1,34.2257,-98.1122
F0,34.1102,-97.7454
F3,36.956,-97.462
F3,36.808,-98.031
F0,35.726,-97.743
F0,35.8,-97.669
F3,35.289,-97.504
F0,36.836,-97.771
F1,36.919,-97.528
F1,36.941,-97.462
F1,36.955,-97.435
F0,36.9,-97.449
F0,36.808,-98.031
F1,35.3395,-96.3089
F1,35.312,-97.48
F1,35.306,-97.421
F4,35.1808,-97.4273
F1,35.249,-97.142
F1,35.1703,-97.4498
F0,47.2064,-105.8271
F0,35.3982,-96.0558
F2,35.3833,-96.0266
F0,35.4303,-95.7911
F1,36.1413,-95.5111
F0,36.1218,-89.9926
F2,35.8088,-88.9066
F4,35.377,-97.305
F2,36.1679,-95.4397
F1,35.93,-95.1321
F1,36.03,-94.9053
F1,36.6613,-94.8252
F1,35.466,-98.931
F1,35.5222,-90.6177
F0,36.479,-97.173
F1,36.539,-97.07
F1,36.507,-97.09
F0,35.604,-97.543
F0,34.324,-97.635
F2,34.18,-97.512
F3,34.245,-97.319
F0,29.7916,-91.7025
F1,42.9943,-82.6119
F0,40.7395,-82.4387
F4,41.5512,-83.538
F0,46.1453,-68.6551
F0,41.7191,-79.6311
F0,39.4407,-86.6078
F0,34.6438,-91.6415
F0,41.999,-80.4069
F0,39.5586,-100.2996
F0,39.5143,-100.2531
F1,41.9522,-80.5974
F0,44.1759,-106.0222
F0,33.2901,-101.7327
F0,42.1346,-83.7483
F1,45.5865,-91.9767
F1,38.2147,-101.0888
F1,41.5909,-80.6307
F0,37.812,-96.9931
F0,38.34,-97.54
F0,38.3595,-97.4728
F1,32.5248,-87.8399
F1,32.5449,-87.8246
F1,33.6794,-87.5386
F1,32.5731,-88.8309
F3,35.446,-91.2711
F0,36.2,-101.2
F0,36.2,-101.25
F1,36.9447,-91.9653
F0,26.6861,-80.6596
F1,35.789,-87.973
F1,35.8226,-87.8937
F0,36.2,-101.2717
F0,34.15,-100.22
F0,36.24,-101.24
F0,42.2023,-103.018
F1,43.9245,-88.9129
F0,35.0963,-87.4329
F0,47.1879,-119.1495
F0,39.5121,-94.47
F2,31.0092,-103.4347
F0,43.0389,-75.0004
F0,34.7989,-80.6323
F0,37.4002,-98.3352
F0,40.9317,-104.76
F0,40.23,-104.91
F2,40.782,-89.9856
F0,48.89,-102.92
F1,41.9359,-83.3274
F0,42.81,-95.81
F0,42.94,-95.69
F1,44.2413,-95.3601
F1,43.6987,-93.2945
F0,43.5365,-93.6631
F0,41.7958,-100.8275
F0,42.14,-100.42
F1,40.7732,-89.9174
F1,40.7616,-89.8175
F0,40.7652,-89.67
F1,43.1145,-89.6479
F0,41.3505,-99.5197
F0,44.3359,-72.2191
F1,42.9102,-88.2148
F1,42.6335,-90.0408
F0,40.8345,-90.3554
F0,47.1905,-98.8899
F1,43.8103,-93.1627
F1,47.9946,-106.0854
F1,48.74,-99.17
F2,35.3667,-88.3639
F0,42.842,-85.9818
F0,46.61,-94.88
F1,42.898,-88.9835
F1,43.7634,-93.3179
F3,43.8588,-93.1273
F0,46.9134,-93.5919
F0,44.1002,-93.8794
F0,44.9689,-94.0823
F0,41.4561,-85.7135
F0,40.7,-102.93
F1,46.7418,-100.9995
F1,34.2432,-89.8904
F0,33.0637,-83.3343
F0,38.4306,-102.1221
F0,38.4107,-102.1477
F0,38.4244,-102.1297
F0,40.9481,-89.857
F1,37.4379,-102.1713
F1,41.1005,-89.0869
F0,47.15,-94.8
F0,46.7971,-99.2611
F1,43.8482,-93.2443
F0,45.7277,-92.8743
F0,40.52,-101.56
F0,45.4874,-93.9612
F1,40.57,-81.82
F0,36.82,-101.97
F0,46.2445,-100.5352
F1,46.04,-101.98
F0,38.4159,-102.1408
F0,38.4192,-102.1355
F0,38.4146,-102.1437
F1,45.9918,-102.6418
F2,40.7482,-89.385
F2,40.7457,-89.4
F2,40.801,-90.0919
F0,43.8101,-93.4911
F0,34.48,-103.05
F4,45.45,-99.71
F1,36.2867,-86.7464
F0,34.55,-102.3551
F0,37.43,-102.14
F2,44.2717,-94.355
F0,40.0858,-89.1453
F0,40.1212,-89.2471
F0,44.0941,-94.0256
F0,40.51,-87.89
F1,41.2573,-85.8823
F2,44.0054,-94.0399
F1,41.53,-83.87
F0,45.69,-98.73
F2,45.6,-98.9
F0,36.7,-85.7576
F0,35.0787,-88.7365
F0,38.456,-102.1983
F0,38.4695,-102.1635
F0,43.43,-95.54
F2,44.34,-94.6602
F2,44.1001,-94.1394
F1,42.0219,-77.7488
F1,41.99,-76.36
F1,42.0467,-83.6751
F0,46.644,-94.7859
F0,39.13,-103.93
F0,34.27,-103.2
F0,29.0009,-80.8838
F2,45.8636,-98.3108
F1,44.87,-99.39
F0,37.25,-102.96
F2,37.3,-102.94
F0,38.53,-102.08
F0,43.31,-95.79
F1,44.1067,-94.2189
F0,43.625,-94.4493
F0,43.8808,-94.5693
F0,45.4836,-93.9543
F0,43.18,-99.01
F0,40.32,-93.35
F2,36.3571,-103.1445
F0,46.1546,-100.6973
F1,37.8031,-86.1709
F0,35.0405,-94.355
F1,37.0967,-96.9703
F3,43.7567,-93.2367
F1,40.5165,-81.665
F0,35.2816,-89.0302
F0,26.07,-97.22
F2,37.4997,-97.9898
F0,39.7822,-87.869
F0,39.8456,-87.7328
F0,46.1217,-103.4147
F1,38.77,-103.48
F0,46.48,-95.8478
F0,45.2886,-100.1235
F0,38.4182,-102.137
F1,37.0724,-97.0313
F2,45.7301,-92.8733
F0,40.48,-87.8089
F0,44.5798,-93.4351
F0,40.4023,-87.7142
F1,45.4248,-99.7948
F0,45.48,-99.46
F0,38.412,-102.146
F1,43.6607,-93.4748
F2,43.8481,-93.326
F0,43.5097,-93.8644
F2,43.5314,-93.7229
F0,44.5256,-93.5761
F0,44.4886,-93.6973
F0,43.7466,-93.7523
F0,43.7339,-93.9292
F0,43.3483,-76.2328
F1,42.0044,-77.8375
F3,34.9949,-88.8815
F0,45.5,-99.16
F1,46.0506,-101.9796
F0,48.33,-97.05
F2,37.0687,-102.6034
F0,43.5692,-93.6512
F1,43.5713,-93.6484
F0,47.9644,-107.3172
F1,43.6468,-70.8412
F0,36.51,-80.85
F0,38.35,-102.74
F0,38.1149,-102.6219
F0,43.6873,-94.1618
F0,40.28,-103.83
F0,40.27,-103.72
F1,47.0626,-99.9262
F0,43.5331,-94.148
F1,45.9058,-95.5924
F0,43.6824,-70.5115
F1,30.0104,-94.4157
F0,40.22,-103.39
F0,34.5909,-102.2703
F0,34.5807,-102.2827
F3,35.055,-88.7872
F2,45.448,-99.7479
F0,42.65,-102.41
F2,41.9663,-83.7692
F2,43.5129,-93.7331
F1,43.5046,-70.8091
F0,43.6813,-70.5189
F0,28.971,-80.891
F0,29.0094,-81.0045
F0,45.51,-99.15
F2,45.54,-99.01
F0,42.491,-89.519
F0,48.63,-98.7657
F0,37.5373,-94.2738
F0,40.0915,-102.9858
F1,39.96,-102.96
F1,40.1608,-103.564
F0,33.1888,-94.8132
F0,43.4978,-94.4522
F0,43.9041,-93.0454
F1,42.8883,-89.1618
F0,44.1389,-94.1163
F0,44.4821,-93.2914
F1,44.5007,-93.1145
F0,39.54,-110.74
F0,44.81,-98.1
F1,41.6823,-73.013
F3,39.1571,-81.7897
F2,45.81,-108.48
F0,27.8278,-97.796
F1,41.6872,-73.0845
F0,39.7289,-82.08
F0,48.37,-102.64
F0,28.0003,-97.0694
F0,29.7292,-94.9432
F0,43.92,-100.3001
F1,36.2534,-86.7778
F1,39.0184,-81.3504
F0,45.2382,-92.9594
F0,28.1384,-96.9792
F4,43.404,-95.8605
F1,41.6938,-73.075
F0,39.9137,-84.6889
F1,30.6706,-88.1535
F0,46.67,-95.75
F0,46.63,-103.44
F0,47.9476,-100.564
F0,48.69,-102.24
F0,27.6286,-98.0484
F0,39.2228,-101.2981
F0,45.1639,-96.1781
F0,44.9951,-96.219
F1,43.89,-92.87
F0,28.1654,-97.203
F1,44.6654,-93.1864
F1,30.526,-87.5688
F0,45.5814,-92.3758
F0,40.179,-82.8925
F0,43.91,-92.65
F3,48.6597,-105.0018
F1,31.312,-95.6555
F0,31.4527,-95.4753
F0,41.09,-100.77
F1,39.9165,-84.6848
F0,32.7402,-95.5606
F3,48.8074,-102.1314
F1,43.9108,-93.0454
